channel_id,call_sign,display_name,city,state,source,site,site_id,match_method,confidence,reason
24HourFreeMovies.us,,24 Hour Free Movies,,,i.mjh.nz/plex,i.mjh.nz,Plex/ca#647f8d22a2fc3fadb4721685-5fd115bab7ef8d002dcf181d,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
48Hours.us,,48 Hours,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#e1df79771ae4850c0e48ecc6284065d0,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
50CentAction.us,,50 Cent Action,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#e2422e42301a3176997019f882471d77,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
5Cops.us,,5 Cops,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/gb#5d2c571faeb3e2738ae27933,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
70sCinema.us,,70s Cinema,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5f4d878d3d19b30007d2e782,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
80sRewind.us,,80s Rewind,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5ca525b650be2571e3943c63,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
90sThrowback.us,,90s Throwback,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5f4d86f519358a00072b978e,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
ABC.us,,ABC,,,tvguide.com,tvguide.com,9233011874,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
ABCNewsLive.us,,ABC News Live,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#483af83e821059b8b3f0825ae2d43e31,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
ACCDigitalNetwork.us,,ACC Digital Network,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#409951b52fa75a1684ba8efe5b724e91,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
ACCNetwork.us,,ACC Network,,,tvguide.com,tvguide.com,9200017734,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
AE.us,,A&E,,,tvguide.com,tvguide.com,9200004889,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
ALLBLKGems.us,,ALLBLK Gems,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#147998bc965e584d9c6cc360b2c7ae4f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AMC.us,,AMC,,,tvguide.com,tvguide.com,9233011832,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
AMCenEspanol.us,,AMC en Espanol,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#6727481eeb0951dfa692259e25055293,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AcapulcoShore.us,,Acapulco Shore,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#64dab1f835425100080e1e7b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
AccuWeatherNOW.us,,AccuWeather NOW,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#f95c40a17cfe5b9fb1970192e378fb0c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
Actualidad360.es,,Actualidad 360,,,i.mjh.nz/plex,i.mjh.nz,Plex/es#643054b1fc3be59477853717-682510ec0f741b077c360512,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AdrenalinaPuraTV.us,,Adrenalina Pura TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/br#61b790b985706b00072cb797,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
AdventureEarth.de,,Adventure Earth,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-6533e9b1df3ccc650a965646,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AfroLandTV.us,,AfroLandTV,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-60e737a4ebef9d002c4d0a0c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AlerteaMalibu.us,,Alerte a Malibu,,,i.mjh.nz/plex,i.mjh.nz,Plex/fr#6430aa45fc3be5947780904e-68e03cb418c739b4d91a6a59,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AllRealitybyWEtv.us,,All Reality by WE tv,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#ebedf88c76db5154b9a747a54d393758,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AllWeddingsWEtv.us,,All Weddings WE tv,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#7c7fd49414d5529788c10291cf90214a,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AlwaysFunnyVideos.us,,Always Funny Videos,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#86c08261fc015a58866210bea63eb8f4,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AmericaTeVe.pr,,America TeVe,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#0e9a0d968d225a3eb93784404f7edadf,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AmericanCrimeChannel.pl,,American Crime Channel,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-671ab65359ad9a223f0a5dc3,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AmericasTestKitchen.us,,America's Test Kitchen,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#a96f9c338b3e5ab29ec3b436c01c84da,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AmericasVoice.us,,America's Voice,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#d748045d77105901b8e25fcc34aa9e2f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AmericasVoiceNews.us,,America's Voice News,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5e1f7da4bc7d740009831259,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Anaylos7.us,,Ana y los 7,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/es#5f1acce7f17797000718f9be,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Andromeda.us,,Andromeda,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/gb#5e8db96bccae160007c71eec,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
AngerManagementChannel.us,,Anger Management Channel,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#7fbae583c30451e989ea55b4c605e8a9,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AnimationPlus.us,,Animation+,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#2b54188672a6acb8d3e4c6b9e71a3a7c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AnimexHIDIVE.us,,Anime x HIDIVE,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#0b92deed3dd556cf91c911a36e948fde,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AntiquesRoadTrip.us,,Antiques Road Trip,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/gb#66f135b45e4a6e0008b80606,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
AntiquesRoadshowUK.us,,Antiques Roadshow UK,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#b14c3ee8314b54dd916011298b4958b0,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
ArchivosForenses.us,,Archivos Forenses,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/es#5f984f4a09e92d0007d74647,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
AreWeThereYet.us,,Are We There Yet?,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#1c235612cec3540f85bb5e2bf7982047,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AsianCrush.us,,AsianCrush,,,i.mjh.nz/plex,i.mjh.nz,Plex/ca#647f8d22a2fc3fadb4721685-5eea605474085f0040ddc767,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
AtHomewithFamilyHandyman.us,,At Home with Family Handyman,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#58673c6e05455569978456bdc210f9d7,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
AztecaInternacional.mx,,Azteca Internacional,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#5e709cfe55d955ec899903cde681a5a4,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BBCAmerica.us,,BBC America,,,tvguide.com,tvguide.com,9200014701,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BBCDrama.uk,,BBC Drama,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#c7254defc71c54e170206329d0d55c43,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BBCEarth.uk,,BBC Earth,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#41a03e0853d45c06bdfdedc5d26b78d8,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BBCFood.us,,BBC Food,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#b5d43356a7fc515f996493fcd52a84c6,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BBCHomeGarden.us,,BBC Home & Garden,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#b04b170e5f085586985358512adbdb9f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BBCNews.uk,,BBC News,,,tvguide.com,tvguide.com,9200004927,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BBCTravel.us,,BBC Travel,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/de#60e4519e6873180007d3cddb,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BETClassicsPlutoTV.us,,BET Classics Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#60f85644a9493e0007a1f035,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BETPlutoTV.de,,BET Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/gb#604f8f8622166000071a929f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BETPlutoTV.us,,BET Pluto TV,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#515d785b0a5ea55f15f7e4c773990009,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BMCNews.br,,BM&C News,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/br#666c9c60a7efd40008f552f0,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BabyFirst.us,,BabyFirst,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/br#5f4fb4cf605ddf000748e16f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BabySharkTV.us,,Baby Shark TV,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#40d73ba5be775428a377908b02033b4c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
Backstage.us,,Backstage,,,i.mjh.nz/plex,i.mjh.nz,Plex/ca#647f8d22a2fc3fadb4721685-608aec5fa09205002da4f28f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
BarRescue.us,,Bar Rescue,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#60a3d889a5b3690008dc7fe8,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Baywatch.us,,Baywatch,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#ab47c5037be851e6a929a4d09daafeac,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BellatorMMA.us,,Bellator MMA,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#963092a6c9489bdb5ec99e3c3ede8ad1,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BestofDrPhil.us,,Best of Dr Phil,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#6d4ae9d9d0df5122a0811cff961b24b2,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BeverlyHillbillies.us,,Beverly Hillbillies,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5f7796e470510900070d4e3d,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BeverlyHills90210.us,,Beverly Hills 90210,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#95eb22cb730119300271c915c085c1db,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BeyondBeliefFactorFiction.us,,Beyond Belief: Fact or Fiction,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/gb#611f85396abc84000738417b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BigTenNetwork.us,,Big Ten Network,,,tvguide.com,tvguide.com,9200004533,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BilliardTV.us,,Billiard TV,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#0b4814b9a5e53029e2b9aba64ddc1df0,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BlackInkCrew.us,,Black Ink Crew,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5d51e2bceca5b4b2c0e06c50,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BlazeLive.us,,Blaze Live,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5e46fba0c43b0d00096e5ac1,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BloombergOriginals.us,,Bloomberg Originals,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-61d73c3ca7b7c7f703418518,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
BloombergTV.us,,Bloomberg TV,,,tvguide.com,tvguide.com,9233015798,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
BlueBloods.us,,Blue Bloods,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#61b3b8c645b45d0007a9bb8d,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Bobleponge.us,,Bob l'eponge,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#5ffc8c345822750007e167de,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
BounceXL.us,,Bounce XL,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#7f28cd98ab575aa784d0f80698279e70,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
BratTV.us,,Brat TV,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-63d6f6c5a9e88ee909e7ee1f,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
