channel_id,call_sign,display_name,reason
00sReplay.us,,00s Replay,no EPG source lists this channel id or call sign
1001Noites.br,,1001 Noites,no EPG source lists this channel id or call sign
100AutoMotoTV.bg,,100% Auto Moto TV,no EPG source lists this channel id or call sign
100NEWS.ua,,100% NEWS,no EPG source lists this channel id or call sign
101tvCadiz.es,,101tv Cadiz,no EPG source lists this channel id or call sign
101tvMalaga.es,,101tv Malaga,no EPG source lists this channel id or call sign
101tvSevilla.es,,101tv Sevilla,no EPG source lists this channel id or call sign
10Bold.au,,10 Bold,no EPG source lists this channel id or call sign
10TV.in,,10 TV,no EPG source lists this channel id or call sign
111TV.it,,111 TV,no EPG source lists this channel id or call sign
123tv.de,,1-2-3.tv,no EPG source lists this channel id or call sign
12TVParma.it,,12 TV Parma,no EPG source lists this channel id or call sign
12tv.es,,12tv,no EPG source lists this channel id or call sign
13C.cl,,13C,no EPG source lists this channel id or call sign
13E.cl,,13E,no EPG source lists this channel id or call sign
13Festival.cl,,13 Festival,no EPG source lists this channel id or call sign
13Humor.cl,,13 Humor,no EPG source lists this channel id or call sign
13Kids.cl,,13 Kids,no EPG source lists this channel id or call sign
13P.cl,,13P,no EPG source lists this channel id or call sign
13Realities.cl,,13 Realities,no EPG source lists this channel id or call sign
13Rec.cl,,13Rec,no EPG source lists this channel id or call sign
13SiamThai.th,,13 Siam Thai,no EPG source lists this channel id or call sign
13T.cl,,13T,no EPG source lists this channel id or call sign
151BPB.cl,,15.1 BPB,no EPG source lists this channel id or call sign
15PlusMusic.ru,,15+ Music,no EPG source lists this channel id or call sign
15TV.mx,,15TV,no EPG source lists this channel id or call sign
16AnnieIncinta.de,,16 Anni e Incinta,no EPG source lists this channel id or call sign
16tvBudapest.hu,,16tv Budapest,no EPG source lists this channel id or call sign
1AlmereTV.nl,,1AlmereTV,no EPG source lists this channel id or call sign
1KZNTV.za,,1KZN TV,no EPG source lists this channel id or call sign
1Plus1International.ua,,1+1 International,no EPG source lists this channel id or call sign
1Plus1Marafon.ua,,1+1 Marafon,no EPG source lists this channel id or call sign
1Plus1Ukraina.ua,,1+1 Ukraina,no EPG source lists this channel id or call sign
1TV.ge,,1TV,no EPG source lists this channel id or call sign
1TwenteTV.nl,,1Twente TV,no EPG source lists this channel id or call sign
20.it,,20,no EPG source lists this channel id or call sign
20MinutesTV.fr,,20 Minutes TV,no EPG source lists this channel id or call sign
22ScopeNews.in,,22Scope News,no EPG source lists this channel id or call sign
24.sk,,:24,no EPG source lists this channel id or call sign
247BoxTV.ir,,247 Box TV,no EPG source lists this channel id or call sign
24Horas.es,,24 Horas,no EPG source lists this channel id or call sign
24HorasCanarias.es,,24 Horas Canarias,no EPG source lists this channel id or call sign
24HorasCatalunya.es,,24 Horas Catalunya,no EPG source lists this channel id or call sign
24Kanal.ua,,24 Kanal,no EPG source lists this channel id or call sign
24News.in,,24 News,no EPG source lists this channel id or call sign
24TV.tr,,24 TV,no EPG source lists this channel id or call sign
28kanala.es,,28 kanala,no EPG source lists this channel id or call sign
2900Happiness.se,,2900 Happiness,no EPG source lists this channel id or call sign
2GB.au,,2GB,no EPG source lists this channel id or call sign
2M.ma,,2M,no EPG source lists this channel id or call sign
2MMonde.ma,,2M Monde,no EPG source lists this channel id or call sign
2Plus2.ua,,2+2,no EPG source lists this channel id or call sign
2Plus2Marathon.ua,,2+2 Marathon,no EPG source lists this channel id or call sign
2TV.ge,,2 TV,no EPG source lists this channel id or call sign
2x2.ru,,2x2,no EPG source lists this channel id or call sign
30ADarcizzleOffshore.us,,30A Darcizzle Offshore,no EPG source lists this channel id or call sign
30AGeorgiaHollywoodReview.us,,30A Georgia Hollywood Review,no EPG source lists this channel id or call sign
30AGolfKingdom.us,,30A Golf Kingdom,no EPG source lists this channel id or call sign
30AInvestmentPitch.us,,30A Investment Pitch,no EPG source lists this channel id or call sign
30ALionelNation.us,,30A Lionel Nation,no EPG source lists this channel id or call sign
30ALoomeredTV.us,,30A Loomered TV,no EPG source lists this channel id or call sign
30ALuxeLifeDiscovered.us,,30A Luxe Life Discovered,no EPG source lists this channel id or call sign
30AMusic.us,,30A Music,no EPG source lists this channel id or call sign
30ARidiculousTV.us,,30A Ridiculous TV,no EPG source lists this channel id or call sign
30ASidewalks.us,,30A Sidewalks,no EPG source lists this channel id or call sign
30ATVClassicMovies.us,,30A TV Classic Movies,no EPG source lists this channel id or call sign
30ATelevisionChannel.us,,30A Television Channel,no EPG source lists this channel id or call sign
30ATheBeachShow.us,,30A The Beach Show,no EPG source lists this channel id or call sign
30AWeLoveCars.us,,30A We Love Cars,no EPG source lists this channel id or call sign
312Kino.kg,,312 Kino,no EPG source lists this channel id or call sign
312TV.kg,,312 TV,no EPG source lists this channel id or call sign
31Kanal.kz,,31 Kanal,no EPG source lists this channel id or call sign
360.ru,,360°,no EPG source lists this channel id or call sign
360.tr,,360,no EPG source lists this channel id or call sign
360News.ru,,360° News,no EPG source lists this channel id or call sign
360RFTV.cr,,360 RFTV,no EPG source lists this channel id or call sign
360TuneBox.nl,,360TuneBox,no EPG source lists this channel id or call sign
365daysTV.ru,,365 days TV,no EPG source lists this channel id or call sign
366TV.ua,,36.6 TV,no EPG source lists this channel id or call sign
36TVHuacho.pe,,36 TV Huacho,no EPG source lists this channel id or call sign
3ABNCanada.ca,,3ABN Canada,no EPG source lists this channel id or call sign
3ABNEnglish.us,,3ABN English,no EPG source lists this channel id or call sign
3ABNFrench.us,,3ABN French,no EPG source lists this channel id or call sign
3ABNInternational.us,,3ABN International,no EPG source lists this channel id or call sign
3ABNKids.us,,3ABN Kids,no EPG source lists this channel id or call sign
3ABNLatino.us,,3ABN Latino,no EPG source lists this channel id or call sign
3ABNPraiseHimMusicNetwork.us,,3ABN Praise Him Music Network,no EPG source lists this channel id or call sign
3ABNProclaimNetwork.us,,3ABN Proclaim! Network,no EPG source lists this channel id or call sign
3ABNRussia.ru,,3ABN Russia,no EPG source lists this channel id or call sign
3ABNTVUganda.ug,,3ABN TV Uganda,no EPG source lists this channel id or call sign
3AW.au,,3AW,no EPG source lists this channel id or call sign
3CatCameresdeltemps.es,,3Cat Cameres del temps,no EPG source lists this channel id or call sign
3CatExclusiu1.es,,3Cat Exclusiu 1,no EPG source lists this channel id or call sign
3CatExclusiu2.es,,3Cat Exclusiu 2,no EPG source lists this channel id or call sign
3CatExclusiu3.es,,3Cat Exclusiu 3,no EPG source lists this channel id or call sign
3CatInfo.es,,3CatInfo,no EPG source lists this channel id or call sign
3CatPlatsbruts.es,,3Cat Plats bruts,no EPG source lists this channel id or call sign
3HD.th,,3HD,no EPG source lists this channel id or call sign
3StonesTV.ke,,3 Stones TV,no EPG source lists this channel id or call sign
3sat.de,,3sat,no EPG source lists this channel id or call sign
4Afghanistan.fr,,4 Afghanistan,no EPG source lists this channel id or call sign
4DmasNoticiasTV.py,,4Dmas Noticias TV,no EPG source lists this channel id or call sign
4E.gr,,4E,no EPG source lists this channel id or call sign
4FunKids.pl,,4 Fun Kids,no EPG source lists this channel id or call sign
4FunTV.pl,,4 Fun TV,no EPG source lists this channel id or call sign
4Kurd.fr,,4Kurd,no EPG source lists this channel id or call sign
4Music.fr,,4 Music,no EPG source lists this channel id or call sign
4TVNews.in,,4TV News,no EPG source lists this channel id or call sign
4UTV.tr,,4U TV,no EPG source lists this channel id or call sign
50Canale.it,,50 Canale,no EPG source lists this channel id or call sign
51RadioTV.it,,51 Radio TV,no EPG source lists this channel id or call sign
555.ru,,555,no EPG source lists this channel id or call sign
5AABTV.ca,,5AAB TV,no EPG source lists this channel id or call sign
5Plus.mm,,5 Plus,no EPG source lists this channel id or call sign
5Sport.il,,5Sport,no EPG source lists this channel id or call sign
5minuttishiny.ru,,5 minut tishiny,no EPG source lists this channel id or call sign
5tv.ar,,5tv,no EPG source lists this channel id or call sign
6PR.au,,6PR,no EPG source lists this channel id or call sign
6WiseTv.us,,6 Wise Tv,no EPG source lists this channel id or call sign
6sotok.ua,,6 sotok,no EPG source lists this channel id or call sign
6ter.fr,,6ter,no EPG source lists this channel id or call sign
7080TV.it,,70-80 TV,no EPG source lists this channel id or call sign
78TV.bg,,7/8 TV,no EPG source lists this channel id or call sign
7Info.ci,,7 Info,no EPG source lists this channel id or call sign
7RadioVisione.it,,7 RadioVisione,no EPG source lists this channel id or call sign
7SMusic.in,,7S Music,no EPG source lists this channel id or call sign
7TV.hu,,7.TV,no EPG source lists this channel id or call sign
7thHeaven.se,,7th Heaven,no EPG source lists this channel id or call sign
86.ru,,86,no EPG source lists this channel id or call sign
88Stereo.cr,,88 Stereo,no EPG source lists this channel id or call sign
8LaMarinaTV.es,,8 La Marina TV,no EPG source lists this channel id or call sign
8NTV.mx,,8NTV,no EPG source lists this channel id or call sign
8TV.my,,8TV,no EPG source lists this channel id or call sign
8XM.pk,,8XM,no EPG source lists this channel id or call sign
90210.de,,90210,no EPG source lists this channel id or call sign
90sKids.us,,90's Kids,no EPG source lists this channel id or call sign
90sKidsTV2.us,,90s Kids TV 2,no EPG source lists this channel id or call sign
92NewsHD.pk,,92 News HD,no EPG source lists this channel id or call sign
981PearlFM.sx,,98.1 Pearl FM,no EPG source lists this channel id or call sign
99TV.in,,99TV,no EPG source lists this channel id or call sign
9Gem.au,,9Gem,no EPG source lists this channel id or call sign
9Go.au,,9Go!,no EPG source lists this channel id or call sign
9Life.au,,9Life,no EPG source lists this channel id or call sign
9XJalwa.in,,9X Jalwa,no EPG source lists this channel id or call sign
9XJhakaas.in,,9X Jhakaas,no EPG source lists this channel id or call sign
9XM.in,,9XM,no EPG source lists this channel id or call sign
9XTashan.in,,9X Tashan,no EPG source lists this channel id or call sign
9laLomaTV.es,,9 la Loma TV,no EPG source lists this channel id or call sign
A1.ru,,A1,no EPG source lists this channel id or call sign
A12TV.ci,,A12 TV,no EPG source lists this channel id or call sign
A1TV.nl,,A1 TV,no EPG source lists this channel id or call sign
A2.ru,,A2,no EPG source lists this channel id or call sign
A24.ar,,A24,no EPG source lists this channel id or call sign
A2TV.tr,,A2TV,no EPG source lists this channel id or call sign
A2Z.ph,,A2Z,no EPG source lists this channel id or call sign
A2iMusic.sn,,A2i Music,no EPG source lists this channel id or call sign
A2iNaija.sn,,A2i Naija,no EPG source lists this channel id or call sign
A2iReligion.sn,,A2i Religion,no EPG source lists this channel id or call sign
A2iTV.it,,A2i TV,no EPG source lists this channel id or call sign
A7TV.do,,A7 TV,no EPG source lists this channel id or call sign
A7TV.ro,,A7TV,no EPG source lists this channel id or call sign
AB1.fr,,AB1,no EPG source lists this channel id or call sign
ABCAustralia.au,,ABC Australia,no EPG source lists this channel id or call sign
ABCEntertains.au,,ABC Entertains,no EPG source lists this channel id or call sign
ABCKids.au,,ABC Kids,no EPG source lists this channel id or call sign
ABCNews.au,,ABC News,no EPG source lists this channel id or call sign
ABCNewsLive1.us,,ABC News Live 1,no EPG source lists this channel id or call sign
ABCNewsLive10.us,,ABC News Live 10,no EPG source lists this channel id or call sign
ABCNewsLive2.us,,ABC News Live 2,no EPG source lists this channel id or call sign
ABCNewsLive3.us,,ABC News Live 3,no EPG source lists this channel id or call sign
ABCNewsLive4.us,,ABC News Live 4,no EPG source lists this channel id or call sign
ABCNewsLive5.us,,ABC News Live 5,no EPG source lists this channel id or call sign
ABCNewsLive6.us,,ABC News Live 6,no EPG source lists this channel id or call sign
ABCNewsLive7.us,,ABC News Live 7,no EPG source lists this channel id or call sign
ABCNewsLive8.us,,ABC News Live 8,no EPG source lists this channel id or call sign
ABCNewsLive9.us,,ABC News Live 9,no EPG source lists this channel id or call sign
ABCTV.au,,ABC TV,no EPG source lists this channel id or call sign
ABCTVPlus.au,,ABC TV Plus,no EPG source lists this channel id or call sign
ABCTeleshow.pe,,ABC Teleshow,no EPG source lists this channel id or call sign
ABN.kr,,ABN,no EPG source lists this channel id or call sign
ABNAfghanistan.us,,ABN Afghanistan,no EPG source lists this channel id or call sign
ABNAfrica.us,,ABN Africa,no EPG source lists this channel id or call sign
ABNAndhraJyoti.in,,ABN Andhra Jyoti,no EPG source lists this channel id or call sign
ABNBibleMoviesChannel.us,,ABN Bible Movies Channel,no EPG source lists this channel id or call sign
ABNChina.us,,ABN China,no EPG source lists this channel id or call sign
ABNNews.pk,,ABN News,no EPG source lists this channel id or call sign
ABNTVIndia.us,,ABN TV India,no EPG source lists this channel id or call sign
ABNUrdu.us,,ABN Urdu,no EPG source lists this channel id or call sign
ABNsat.iq,,ABNsat,no EPG source lists this channel id or call sign
ABPAnanda.in,,ABP Ananda,no EPG source lists this channel id or call sign
ABPAsmita.in,,ABP Asmita,no EPG source lists this channel id or call sign
ABPGanga.in,,ABP Ganga,no EPG source lists this channel id or call sign
ABPMajha.in,,ABP Majha,no EPG source lists this channel id or call sign
ABPNews.in,,ABP News,no EPG source lists this channel id or call sign
ABTVBariloche.ar,,ABTV Bariloche,no EPG source lists this channel id or call sign
ABTelevision.pe,,ABTelevision,no EPG source lists this channel id or call sign
ACISportTV.it,,ACI Sport TV,no EPG source lists this channel id or call sign
ACNN.ng,,ACNN,no EPG source lists this channel id or call sign
ACTV.be,,ACTV,no EPG source lists this channel id or call sign
ACTV.tg,,AC TV,no EPG source lists this channel id or call sign
ACTV.us,,ACTV,no EPG source lists this channel id or call sign
ACWUGTV.ug,,ACW UG TV,no EPG source lists this channel id or call sign
ADATV.cl,,ADA TV,no EPG source lists this channel id or call sign
ADBTV.pt,,ADB TV,no EPG source lists this channel id or call sign
ADN40.mx,,ADN 40,no EPG source lists this channel id or call sign
ADNTV.cl,,ADN TV,no EPG source lists this channel id or call sign
ADNTVPlus.fr,,ADN TV+,no EPG source lists this channel id or call sign
ADOTV.bj,,ADO TV,no EPG source lists this channel id or call sign
AELatinAmerica.us,,A&E Latin America,no EPG source lists this channel id or call sign
AERadioTV.cl,,AE Radio TV,no EPG source lists this channel id or call sign
AFBTVKupang.id,,AFBTV Kupang,no EPG source lists this channel id or call sign
AFNTV.ir,,AFN TV,no EPG source lists this channel id or call sign
AFTV.us,,AFTV,no EPG source lists this channel id or call sign
AFV.us,,AFV,no EPG source lists this channel id or call sign
AFVEspanol.us,,AFV Espanol,no EPG source lists this channel id or call sign
AGRFMTV.py,,AGR FM TV,no EPG source lists this channel id or call sign
AHaber.tr,,A Haber,no EPG source lists this channel id or call sign
AIONTV.do,,AION TV,no EPG source lists this channel id or call sign
AISTTV.ru,,AIST TV,no EPG source lists this channel id or call sign
AKCTV.us,,AKC TV,no EPG source lists this channel id or call sign
AKCTVMeettheBreeds.us,,AKC TV Meet the Breeds,no EPG source lists this channel id or call sign
AKCTVPuppies.us,,AKC TV Puppies,no EPG source lists this channel id or call sign
AKDCalcuttaNews.in,,AKD Calcutta News,no EPG source lists this channel id or call sign
AKTV.id,,AKTV,no EPG source lists this channel id or call sign
AL24News.dz,,AL24 News,no EPG source lists this channel id or call sign
ALTV.th,,ALTV,no EPG source lists this channel id or call sign
ALWifakNewsTV.lb,,ALWifak News TV,no EPG source lists this channel id or call sign
AMC.af,,AMC,no EPG source lists this channel id or call sign
AMCEurope.uk,,AMC Europe,no EPG source lists this channel id or call sign
AMCLatinAmerica.us,,AMC Latin America,no EPG source lists this channel id or call sign
AMCanal.cl,,AM Canal,no EPG source lists this channel id or call sign
AMGATV.us,,AMGA TV,no EPG source lists this channel id or call sign
AMGTV.us,,AMG TV,no EPG source lists this channel id or call sign
AMP1.us,,AMP 1,no EPG source lists this channel id or call sign
